sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B30,Khitan Large Script Character 18B30,U+18B30,𘬰,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190557'}]"
U+18B31,Khitan Large Script Character 18B31,U+18B31,𘬱,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190563'}]"
U+18B32,Khitan Large Script Character 18B32,U+18B32,𘬲,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190568'}]"
U+18B33,Khitan Large Script Character 18B33,U+18B33,𘬳,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190574'}]"
U+18B34,Khitan Large Script Character 18B34,U+18B34,𘬴,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190580'}]"
U+18B35,Khitan Large Script Character 18B35,U+18B35,𘬵,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190586'}]"
U+18B36,Khitan Large Script Character 18B36,U+18B36,𘬶,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190596'}]"
U+18B37,Khitan Large Script Character 18B37,U+18B37,𘬷,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190603'}]"
U+18B38,Khitan Large Script Character 18B38,U+18B38,𘬸,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190609'}]"
U+18B39,Khitan Large Script Character 18B39,U+18B39,𘬹,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190615'}]"
